speaker,line
INTERVIEWER,Hi! What is your name?
ALLISON,Hi! I’m Allison.
INTERVIEWER,How do you spell that?
ALLISON,A-L-L-I-S-O-N.
INTERVIEWER,What class are you in?
ALLISON,I’m in Class 2.
INTERVIEWER,And what is your phone number?
ALLISON,It’s 098 410 2376.
INTERVIEWER,"Great. Thank you, Allison. See you!"
ALLISON,Bye!
INTERVIEWER,Hello! What is your name?
BRYAN,Hi! I’m Bryan.
INTERVIEWER,How do you spell that?
BRYAN,B-R-Y-A-N.
INTERVIEWER,What class are you in?
BRYAN,I’m in Class 5.
INTERVIEWER,What is your phone number?
BRYAN,It’s 096 321 5084.
INTERVIEWER,"Thanks, Bryan. Have a good day!"
BRYAN,Thank you. Bye!
INTERVIEWER,Hi there! What is your name?
LINDSAY,Hello! I’m Lindsay.
INTERVIEWER,How do you spell that?
LINDSAY,L-I-N-D-S-A-Y.
INTERVIEWER,What class are you in?
LINDSAY,I’m in Class 3.
INTERVIEWER,And your phone number?
LINDSAY,It’s 099 760 1425.
INTERVIEWER,"Perfect. Thank you, Lindsay. See you later!"
LINDSAY,See you!
