speaker,line
INTERVIEWER,"Hi, Allison. Nice to meet you. So, what do you do?"
ALLISON,"Hi! Nice to meet you too. I’m a doctor. I work at a hospital near my house."
INTERVIEWER,"Oh, nice. Is your family in medicine too?"
ALLISON,"No! My brother is a teacher. Very different."
INTERVIEWER,A doctor and a teacher. Busy family!
ALLISON,"Yes, very busy!"
INTERVIEWER,"Hello, Mike. What do you do?"
MIKE,I’m a farmer. I work outside most days.
INTERVIEWER,Do you like it?
MIKE,"Yes, I do. My wife works in town. She’s a receptionist."
INTERVIEWER,So you’re the farmer in the family.
MIKE,That’s right.
INTERVIEWER,"Hi, John. Are you a taxi driver?"
JOHN,"No, that’s my friend Carlos. I’m an office worker."
INTERVIEWER,"Ah, okay. Where do you work?"
JOHN,"In an office downtown. I’m there from Monday to Friday."
INTERVIEWER,Got it. Office worker.
JOHN,Exactly.
INTERVIEWER,"Hi, Lisa. You work in a restaurant, right?"
LISA,"Yes. My brother is a chef there, but I’m a waitress."
INTERVIEWER,Do you work together a lot?
LISA,"Almost every day. He cooks, and I take the food to the tables."
INTERVIEWER,Sounds busy.
LISA,"It is, especially at night."
INTERVIEWER,"Hello, Bryan. What’s your job?"
BRYAN,I’m a salesclerk. I work in a small shop.
INTERVIEWER,What do you sell?
BRYAN,"Clothes, mostly. My dad is a farmer, so our jobs are completely different."
INTERVIEWER,Very different!
BRYAN,"Yes, but I like my job."
